,prj_name,duong,xa,huyen,tinh,ref_xa_code,ref_huyen_code,ref_tinh_code,area,pn,price,source,unit_price
0,sunrise-city,duong-nguyen-huu-tho,phuong-tan-hung,quan-7,thanh-pho-ho-chi-minh,195692,182215,180175,106.0,2,4500000000.0,bds,42452830.18867925
3,the-zenpark,duong-dong-du-1,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,71.0,2,2730000000.0,bds,38450704.225352116
4,vinhomes-times-city-park-hill,duong-minh-khai,phuong-vinh-tuy,quan-hai-ba-trung,thanh-pho-ha-noi,195334,149556,148873,95.0,3,4500000000.0,bds,47368421.05263158
5,masteri-thao-dien,duong-xa-lo-ha-noi,phuong-thao-dien,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772622,772629,180175,75.0,2,4250000000.0,bds,56666666.666666664
8,vinhomes-grand-park,nan,phuong-long-thanh-my,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772604,772629,180175,69.0,2,2350000000.0,bds,34057971.01449275
9,vinhomes-smart-city,duong-dai-lo-thang-long,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,54.0,2,2400000000.0,bds,44444444.44444445
11,zenity,duong-vo-van-kiet,phuong-cau-kho,quan-1,thanh-pho-ho-chi-minh,195455,180176,180175,108.0,2,9180000000.0,bds,85000000.0
13,masteri-west-heights,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,68.0,2,3700000000.0,bds,54411764.705882356
14,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,54.0,2,2600000000.0,bds,48148148.14814815
15,masteri-thao-dien,duong-xa-lo-ha-noi,phuong-thao-dien,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772622,772629,180175,69.0,2,3890000000.0,bds,56376811.5942029
16,times-city,duong-minh-khai,phuong-vinh-tuy,quan-hai-ba-trung,thanh-pho-ha-noi,195334,149556,148873,80.0,2,4000000000.0,bds,50000000.0
19,masteri-west-heights,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,89.0,3,5800000000.0,bds,65168539.32584269
20,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,80.0,3,3900000000.0,bds,48750000.0
22,vinhomes-ocean-park-gia-lam,nan,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,82.0,3,2430000000.0,bds,29634146.341463413
24,ehome-southgate,duong-dt-830,xa-an-thanh-3,huyen-cu-lao-dung,tinh-soc-trang,360695,348891,348886,51.0,2,1000000000.0,bds,19607843.1372549
27,celadon-city,duong-n1,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,85.0,2,4250000000.0,bds,50000000.0
28,lumiere-riverside,duong-xa-lo-ha-noi,phuong-an-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772616,772629,180175,77.0,2,6100000000.0,bds,79220779.22077923
30,brg-diamond-residence,duong-le-van-luong,phuong-nhan-chinh,quan-thanh-xuan,thanh-pho-ha-noi,195354,150965,148873,151.0,4,8758000000.0,bds,58000000.0
31,lumiere-riverside,duong-xa-lo-ha-noi,phuong-an-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772616,772629,180175,77.1,2,6600000000.0,bds,85603112.84046693
35,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,60.0,2,2500000000.0,bds,41666666.666666664
36,sunrise-city,duong-nguyen-huu-tho,phuong-tan-hung,quan-7,thanh-pho-ho-chi-minh,195692,182215,180175,120.0,-1,5000000000.0,bds,41666666.666666664
37,masteri-thao-dien,duong-xa-lo-ha-noi,phuong-thao-dien,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772622,772629,180175,65.0,2,4300000000.0,bds,66153846.15384615
38,royal-city,duong-nguyen-trai,phuong-thuong-dinh,quan-thanh-xuan,thanh-pho-ha-noi,195355,150965,148873,110.0,2,5200000000.0,bds,47272727.27272727
40,westgate,duong-tan-tuc,thi-tran-tan-tuc,huyen-binh-chanh,thanh-pho-ho-chi-minh,195732,185630,180175,85.0,3,3400000000.0,bds,40000000.0
41,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,82.0,3,4000000000.0,bds,48780487.80487805
42,q7-saigon-riverside,duong-dao-tri,phuong-phu-thuan,quan-7,thanh-pho-ho-chi-minh,195695,182215,180175,69.0,2,2400000000.0,bds,34782608.69565217
46,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,55.0,2,2600000000.0,bds,47272727.27272727
47,khai-son-city,nan,phuong-ngoc-thuy,quan-long-bien,thanh-pho-ha-noi,195278,150530,148873,120.0,3,4400000000.0,bds,36666666.666666664
48,celadon-city,duong-n1,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,92.0,2,4300000000.0,bds,46739130.43478261
49,vinhomes-central-park,duong-dien-bien-phu,phuong-22,quan-binh-thanh,thanh-pho-ho-chi-minh,195525,184576,180175,85.0,2,4500000000.0,bds,52941176.47058824
50,imperia-an-phu,nan,phuong-an-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772616,772629,180175,136.0,3,6400000000.0,bds,47058823.52941176
52,celadon-city,duong-n1,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,85.4,2,4350000000.0,bds,50936768.1498829
54,khai-son-city,nan,phuong-ngoc-thuy,quan-long-bien,thanh-pho-ha-noi,195278,150530,148873,77.51,2,3150000000.0,bds,40639917.43000903
55,lumiere-riverside,duong-xa-lo-ha-noi,phuong-an-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772616,772629,180175,70.0,2,6500000000.0,bds,92857142.85714285
56,the-sang-residence,duong-pham-kiet,phuong-khue-my,quan-ngu-hanh-son,thanh-pho-da-nang,357485,277900,277892,82.5,2,3470000000.0,bds,42060606.06060606
57,one-verandah-mapletree,duong-bat-nan,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,82.0,2,5100000000.0,bds,62195121.951219514
58,goldmark-city,duong-ho-tung-mau,phuong-phu-dien,quan-bac-tu-liem,thanh-pho-ha-noi,195397,149087,148873,110.0,3,4000000000.0,bds,36363636.36363637
59,celadon-city,duong-n1,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,88.0,-1,4200000000.0,bds,47727272.72727273
60,vinhomes-green-bay-me-tri,duong-dai-lo-thang-long,phuong-me-tri,quan-nam-tu-liem,thanh-pho-ha-noi,195375,150671,148873,123.0,3,6500000000.0,bds,52845528.45528455
66,brg-diamond-residence,duong-le-van-luong,phuong-nhan-chinh,quan-thanh-xuan,thanh-pho-ha-noi,195354,150965,148873,105.0,3,5880000000.0,bds,56000000.0
70,eurowindow-river-park,duong-5,xa-dong-hoi,huyen-dong-anh,thanh-pho-ha-noi,151446,151363,148873,80.0,2,2100000000.0,bds,26250000.0
71,le-grand-jardin-sai-dong,duong-huynh-van-nghe,phuong-sai-dong,quan-long-bien,thanh-pho-ha-noi,195286,150530,148873,105.0,3,4900000000.0,bds,46666666.666666664
72,imperia-smart-city,duong-dai-lo-thang-long,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,55.0,2,2450000000.0,bds,44545454.54545455
74,le-grand-jardin-sai-dong,duong-huynh-van-nghe,phuong-sai-dong,quan-long-bien,thanh-pho-ha-noi,195286,150530,148873,56.0,2,2050000000.0,bds,36607142.85714286
77,diamond-island,nan,phuong-binh-trung-tay,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772618,772629,180175,118.0,3,10700000000.0,bds,90677966.10169491
79,feliz-en-vista,duong-phan-van-dang,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,107.0,3,8500000000.0,bds,79439252.3364486
81,the-zenpark,duong-dong-du-1,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,81.4,2,3250000000.0,bds,39926289.92628992
82,vista-verde,duong-phan-van-dang,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,135.0,3,8500000000.0,bds,62962962.96296296
