TINH|REF_TINH_CODE|REF_HUYEN_CODE|HUYEN|REF_XA_CODE|XA
Thành phố Hà Nội|148873|151065|Huyện Ba Vì|151151|Xã Phú Phương
Thành phố Hà Nội|148873|151065|Huyện Ba Vì|151153|Xã Phú Sơn
Thành phố Hà Nội|148873|151065|Huyện Ba Vì|151157|Xã Tản Hồng
Thành phố Hà Nội|148873|151065|Huyện Ba Vì|151159|Xã Tản Lĩnh
Thành phố Hà Nội|148873|151065|Huyện Ba Vì|151161|Xã Thái Hòa
Thành phố Hà Nội|148873|151065|Huyện Ba Vì|151163|Xã Thuần Mỹ
Thành phố Hà Nội|148873|151065|Huyện Ba Vì|151167|Xã Tiên Phong
Thành phố Hà Nội|148873|151065|Huyện Ba Vì|151169|Xã Tòng Bạt
Thành phố Hà Nội|148873|151065|Huyện Ba Vì|151173|Xã Vạn Thắng
Thành phố Hà Nội|148873|151065|Huyện Ba Vì|151175|Xã Vật Lại
Thành phố Hà Nội|148873|151065|Huyện Ba Vì|151177|Xã Yên Bài
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151180|Thị trấn Xuân Mai
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151241|Xã Thủy Xuân Tiên
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151245|Xã Trường Yên
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151247|Xã Đông Phương Yên
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151249|Xã Phú Nghĩa
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151251|Xã Ngọc Hòa
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151253|Xã Tiên Phương
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151255|Xã Tân Tiến
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151259|Xã Lam Điền
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151261|Xã Hữu Văn
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151263|Xã Tốt Động
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151267|Xã Đồng Phú
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151269|Xã Hồng Phong
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151271|Xã Quảng Bị
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151273|Xã Hợp Đồng
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151277|Xã Phú Nam An
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151279|Xã Trung Hòa
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151281|Xã Thanh Bình
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151283|Xã Hoàng Văn Thụ
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151285|Xã Đồng Lạc
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151289|Xã Mỹ Lương
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151291|Xã Thượng Vực
Thành phố Hà Nội|148873|151179|Huyện Chương Mỹ|151293|Xã Hoàng Diệu
Thành phố Hà Nội|148873|151297|Huyện Đan Phượng|151298|Thị trấn Phùng
Thành phố Hà Nội|148873|151297|Huyện Đan Phượng|151331|Xã Đan Phượng
Thành phố Hà Nội|148873|151297|Huyện Đan Phượng|151335|Xã Hạ Mỗ
Thành phố Hà Nội|148873|151297|Huyện Đan Phượng|151339|Xã Liên Hà
Thành phố Hà Nội|148873|151297|Huyện Đan Phượng|151341|Xã Liên Hồng
Thành phố Hà Nội|148873|151297|Huyện Đan Phượng|151343|Xã Phương Đình
Thành phố Hà Nội|148873|151297|Huyện Đan Phượng|151347|Xã Tân Hội
Thành phố Hà Nội|148873|151297|Huyện Đan Phượng|151349|Xã Thọ An
Thành phố Hà Nội|148873|151297|Huyện Đan Phượng|151351|Xã Thọ Xuân
Thành phố Hà Nội|148873|151297|Huyện Đan Phượng|151353|Xã Thượng Mỗ
Thành phố Hà Nội|148873|151363|Huyện Đông Anh|151434|Xã Nguyên Khê
Thành phố Hà Nội|148873|151363|Huyện Đông Anh|151436|Xã Uy Nỗ
Thành phố Hà Nội|148873|151363|Huyện Đông Anh|151438|Xã Hải Bối
Thành phố Hà Nội|148873|151363|Huyện Đông Anh|151440|Xã Tiên Dương
Thành phố Hà Nội|148873|151363|Huyện Đông Anh|151442|Xã Cổ Loa
Thành phố Hà Nội|148873|151363|Huyện Đông Anh|151444|Xã Xuân Canh
Thành phố Hà Nội|148873|151363|Huyện Đông Anh|151448|Xã Mai Lâm
Thành phố Hà Nội|148873|151363|Huyện Đông Anh|151454|Xã Nam Hồng
